2356.232143,1.6564E-07,0.007740164,1.64E-07,
2357.032451,0.00285872,0.010570416,0.002830416,
2357.853279,0.00285872,0.010570416,0.002830416,
2358.509942,1.6564E-07,0.007740164,1.64E-07,
2359.084522,1.6564E-07,0.007740164,1.64E-07,
2359.741184,1.6564E-07,0.007740164,1.64E-07,
2360.972427,0.008575829,0.01623092,0.00849092,
2361.464924,0.014292937,0.021891423,0.014151423,
2362.429397,0.02858571,0.036042683,0.028302683,
2362.926471,0.053638904,0.060847826,0.053107826,
2363.414391,0.077181136,0.084156966,0.076416966,
2363.882353,0.11509521,0.121695653,0.113955653,
2364.691176,0.176551513,0.182543478,0.174803478,
2365.035528,0.234401629,0.239820821,0.232080821,
2365.279412,0.278978687,0.283956522,0.276216522,
2365.569066,0.33730959,0.341709891,0.333969891,
2365.774273,0.394480678,0.398314929,0.390574929,
2365.938439,0.448793213,0.452089716,0.444349716,
2366.088235,0.50431847,0.507065218,0.499325218,
2366.26677,0.591720935,0.593602312,0.585862312,
2366.287291,0.654609134,0.655867855,0.648127855,
2366.369374,0.703204558,0.703982137,0.696242137,
2366.455882,0.760386404,0.760597826,0.752857826,
2366.533539,0.806112518,0.805871206,0.798131206,
2366.595101,0.84613228,0.845494733,0.837754733,
2366.636143,0.897586261,0.896439268,0.888699268,
2366.677184,0.939798919,0.938233979,0.930493979,
2366.718226,0.984392368,0.982385909,0.974645909,
2366.759267,1.037326078,1.034795522,1.027055522,1.031632293
2366.823529,1.08323005,1.080245,1.072505,1.07295
2366.897059,1.144071791,1.140484347,1.132744347,1.127713043
2366.970588,1.225194113,1.220803479,1.213063479,1.200730435
2367.044118,1.286035854,1.281042826,1.273302826,1.255493478
2367.117647,1.340117402,1.334588913,1.326848913,1.304171739
2367.191176,1.400959144,1.394828261,1.387088261,1.358934783
2367.338235,1.455040691,1.448374347,1.440634347,1.407613043
2367.411765,1.509122239,1.501920434,1.494180434,1.456291304
2367.485294,1.637565915,1.629092391,1.621352391,1.571902174
2367.558824,1.70516785,1.696025,1.688285,1.63275
2367.641658,1.746704947,1.737150839,1.729410839,1.670137126
2367.662178,1.780664574,1.770774232,1.763034232,1.700703847
2367.682699,1.814624201,1.804397625,1.796657625,1.731270568
2367.705882,1.840371719,1.829890217,1.822150217,1.754445652
2367.72374,1.880656808,1.869776444,1.862036444,1.790705858
2367.779412,1.914733848,1.903516087,1.895776087,1.821378261
2367.805823,1.959895937,1.948231027,1.940491027,1.862028206
2367.852941,2.002616363,1.990528479,1.982788479,1.900480435
2367.908427,2.046681651,2.034157476,2.026417476,1.94014316
2368,2.097259071,2.08423413,2.07649413,1.985667391
2368.031551,2.156107115,2.14249952,2.13475952,2.038635927
2368.113634,2.210819846,2.196670541,2.188930541,2.08788231
2368.220588,2.279784296,2.264952174,2.257212174,2.149956522
2368.2778,2.328735217,2.313418433,2.305678433,2.194016757
2368.329101,2.37747357,2.361674228,2.353934228,2.237885662
2368.346202,2.434072949,2.417713217,2.409973217,2.288830197
2368.414604,2.482811301,2.465969011,2.458229011,2.332699101
2368.514706,2.529911454,2.512602826,2.504862826,2.375093478
2368.588235,2.604273583,2.586228696,2.578488696,2.442026087
2368.661765,2.665115323,2.646468043,2.638728043,2.49678913
2368.735294,2.705676485,2.686627609,2.678887609,2.533297826
2368.808824,2.766518227,2.746866957,2.739126957,2.58806087
2368.882353,2.813839581,2.793719783,2.785979783,2.630654348
2368.955882,2.867921129,2.84726587,2.83952587,2.679332609
2368.995549,2.917263934,2.896120133,2.888380133,2.723745575
2369.031176,2.957660867,2.936117096,2.928377096,2.760106451
2369.043051,2.989323327,2.967466067,2.959726067,2.788605515
2369.054926,3.023169407,3.000977036,2.993237036,2.819070033
2369.114303,3.052648248,3.030164008,3.022424008,2.845603644
2369.161805,3.081035282,3.058269982,3.050529982,2.871154529
2369.25,3.124808481,3.101609783,3.093869783,2.910554348
2369.283314,3.161689396,3.13812554,3.13038554,2.943750491
2369.390022,3.228476662,3.204251546,3.196511546,3.003865042
2369.439272,3.282812065,3.258048976,3.250308976,3.052771796
2369.488521,3.307715791,3.28270613,3.27496613,3.075187391
2369.544118,3.327614285,3.302407609,3.294667609,3.093097826
2369.553694,3.355079338,3.329600731,3.321860731,3.117818846
2369.58932,3.372548282,3.346896715,3.339156715,3.133542468
2369.648697,3.393292653,3.367435696,3.359695696,3.152214269
2369.684323,3.408577979,3.382569682,3.374829682,3.165972438
2369.779326,3.42932235,3.403108663,3.395368663,3.184644239
2369.87433,3.454433956,3.42797164,3.42023164,3.207246945
2369.957458,3.476270137,3.44959162,3.44185162,3.226901473
2370.004959,3.488280035,3.461482609,3.453742609,3.237711463
2370.076212,3.499198125,3.472292599,3.464552599,3.247538726
2370.132353,3.510139509,3.483125653,3.475385653,3.257386957
2370.132353,3.510139509,3.483125653,3.475385653,3.257386957
2370.325766,3.518265478,3.491171166,3.483431166,3.26470106
2370.456225,3.523217922,3.496074577,3.488334577,3.269158706
2370.573529,3.516899702,3.489818913,3.482078913,3.263471739
2370.693733,3.510116214,3.483102588,3.475362588,3.257365989
2370.867647,3.489858929,3.46304587,3.45530587,3.239132609
2371.014369,3.468627473,3.442024627,3.434284627,3.220022388
2371.085622,3.45006672,3.423647644,3.415907644,3.20331604
2371.161765,3.429017187,3.402806522,3.395066522,3.184369565
2371.253302,3.405066722,3.37909319,3.37135319,3.162811991
2371.308824,3.381695833,3.355953696,3.348213696,3.141776087
2371.396947,3.350353988,3.324922167,3.317182167,3.113565606
